Date,Open,High,Low,Close,Adj Close,Volume
2015-10-05,57.029999,57.860001,56.990002,57.369999,52.438675,968400
2015-10-06,57.250000,57.470001,56.459999,56.619999,51.753147,475900
2015-10-07,56.820000,57.000000,56.200001,56.470001,51.616039,874800
2015-10-08,56.439999,57.279999,55.689999,57.049999,52.146183,495000
2015-10-09,57.070000,57.400002,56.990002,57.330002,52.402122,712700
2015-10-12,57.459999,57.650002,57.160000,57.500000,52.557499,310800
2015-10-13,57.279999,57.750000,57.020000,57.029999,52.127899,375700
2015-10-14,57.000000,57.290001,56.400002,56.500000,51.643459,232100
2015-10-15,56.660000,57.310001,56.660000,57.279999,52.356415,840700
2015-10-16,57.459999,58.150002,57.209999,57.970001,52.987106,386700
2015-10-19,57.880001,58.840000,57.880001,58.470001,53.444134,520000
2015-10-20,58.320000,58.520000,57.980000,58.330002,53.316158,272600
2015-10-21,58.720001,58.820000,57.779999,57.860001,52.886559,261100
2015-10-22,58.090000,59.189999,58.090000,59.080002,54.001694,367000
2015-10-23,59.360001,59.889999,58.869999,59.660000,54.531830,419100
2015-10-26,59.400002,59.730000,59.130001,59.509998,54.394733,375900
2015-10-27,59.400002,59.799999,58.869999,59.119999,54.038246,524600
2015-10-28,59.299999,59.900002,58.919998,59.900002,54.751209,503500
2015-10-29,59.410000,59.939999,59.320000,59.750000,54.614105,508400
2015-10-30,59.970001,60.110001,59.570000,59.580002,54.458714,724800
2015-11-02,59.570000,59.750000,59.310001,59.639999,54.513550,606600
2015-11-03,59.580002,59.580002,58.830002,59.299999,54.202782,888700
2015-11-04,59.400002,59.619999,58.810001,58.930000,53.864578,653400
2015-11-05,59.099998,59.660000,57.090000,57.330002,52.402122,1095600
2015-11-06,57.650002,57.689999,56.500000,57.169998,52.255871,1300400
2015-11-09,57.070000,57.169998,56.750000,56.939999,52.045635,1260700
2015-11-10,56.680000,57.029999,56.240002,57.020000,52.118771,711500
2015-11-11,57.220001,57.299999,56.810001,56.939999,52.045635,632100
2015-11-12,56.730000,57.139999,56.340000,56.369999,51.524635,683100
2015-11-13,56.049999,56.169998,54.360001,54.730000,50.025600,1146200
2015-11-16,54.590000,55.369999,54.369999,55.160000,50.418633,1195700
2015-11-17,55.180000,55.599998,54.880001,54.939999,50.217548,522900
2015-11-18,55.080002,55.310001,54.410000,55.130001,50.391216,901400
